cím;rendezo;gyarto;ev;hossz
A legnagyobb Showman;Michael Gracey;Amerikai Egyesült Államok;2017;99
Star Wars: Az utolsó Jedik;Rian Johnson;Amerikai Egyesült Államok;2017;150
Milliók hangja Swing & Big Band Beat, Willis Conover emlékkoncert;Amin Zoltán;Magyarország;2017;113
Lucky;John Carrol Lynch;Amerikai Egyesült Államok;2017;88
Capoeira Aerobic 6.;Czanik Balázs;Magyarország;2017;54
Hegyek között;Hany Abu-Assad;Amerikai Egyesült Államok;2017;112
Brigsby mackó;Dave McCary;Amerikai Egyesült Államok;2017;97
A ferde ház;Gilles Paquet-Brenner;Egyesült Királyság;2017;115
Novemberi gyilkosság;Sacha Gervasi;Amerikai Egyesült Államok;2017;85
A kolosszus;Nacho Vigalondo;Amerikai Egyesült Államok, Dél-Korea, Spanyolország, Kanada;2016;109
Három óriásplakát Ebbing határában;Martin McDonagh;Amerikai Egyesült Államok, Egyesült Királyság;2017;115
A világ összes pénze;Ridley Scott;Amerikai Egyesült Államok;2017;133
Best Fitness - Hatékony alakformálás 30 percben Geszler Dorottyával;Kolba Bence;Magyarország;2017;32
Kutyák és titkok;Marcela Said;Franciaország;2017;94
Viszlát Christopher Robin;Simon Curtis;Egyesült Királyság;2017;107
Thelma;Joachim Trier;Norvégia;2017;116
Láthatás;Xavier Legrand;Franciaország;2017;93
Egy burka egy nadrág;Sou Abadi;Franciaország;2017;88
Manifesztum;Julian Rosefeldt;Németország;2015;95
Szólíts a neveden;Luca Guadagnino;Amerikai Egyesült Államok;2017;132
Anna Karenina: Vronszkij története;Karen Sahnazarov;Oroszország;2017;132
Én, Tonya;Craig Gillespie;Amerikai Egyesült Államok;2017;119
The Workshop;Laurent Cantet;Franciaország;2017;113
Gengszterzsaruk;Christian Gudegast;Amerikai Egyesült Államok;2018;140
Fantomszál;Paul Thomas Anderson;Amerikai Egyesült Államok;2017;130
A szabadság ötven árnyalata;James Foley;Amerikai Egyesült Államok;2018;106
Az útvesztő: Halálkúra;Wes Ball;Amerikai Egyesült Államok;2018;144
Parázs a szívnek;Vámos Zoltán;Magyarország;2017;93
Babadook;Jennifer Kent;Ausztrália;2014;93
Ősember - Kicsi az ős, de hős;Nick Park;Egyesült Királyság;2017;90
Sötétben;Fatih Akin;Franciaország, Németország;2017;106
Foxtrott;Samuel Maoz;Izrael;2017;108
A Hely;Paolo Genovese;Olaszország;2017;106
Marston professzor és a két Wonder Woman;Angela Robinson;Amerikai Egyesült Államok;2017;108
Vad esküvő;Damian Harris;Amerikai Egyesült Államok;2017;95
A Hullagyáros;Jesse V. Johnson;Egyesült Királyság;2018;101
Sam, a tűzoltó - Marslakó riadó;Gary Andrews;Egyesült Királyság;2016;60
A víz érintése;Guillermo del Toro;Amerikai Egyesült Államok;2017;123
Hurrikán meló;Rob Cohen;Amerikai Egyesült Államok;2018;104
A Pentagon titkai;Steven Spielberg;Amerikai Egyesült Államok;2017;116
Hihetetlen történet az óriás körtéről;Amalie N?sby Fick;Dánia;2017;80
Cosmic Symphony;Poór István;Magyarország;2016;146
A funtineli boszorkány;Poór István;Magyarország;2017;199
Lady Bird;Greta Gerwig;Amerikai Egyesült Államok;2017;95
Nap nap után;Michael Sucsy;Amerikai Egyesült Államok;2018;95
Genezis;Bogdán Árpád;Magyarország;2018;116
Valami Amerika 3;Herendi Gábor;Magyarország;2018;110
Utószezon;Fábri Zoltán;Magyarország;1966;119
MFH 1966/5 - A filmkritikusok díja;Drahos Kálmán;Magyarország;1966;1
Örkény István Az Isten hozta őrnagy úr!-ról;ismeretlen;Magyarország;1969;2
Vörös veréb;Francis Lawrence;Amerikai Egyesült Államok;2018;132
Éjszakai játék;Jonathan Goldstein;Amerikai Egyesült Államok;2017;125
MFH 1968/20 - A Pál utcai fiúk forgatásán;Bokor László;Magyarország;1968;1
MFH 1967/42 Filmszemle '67 Utószezon;Bokor László;Magyarország;1967;1
